raceethnicity,year,city,state,latitude,longitude,state_fp,armed
White,2015,Apple Valley,CA,34.4155171,-117.17689540000002,6,Firearm
White,2015,Las Vegas,NV,36.242111200000004,-115.05694579999998,32,Firearm
Black,2015,Houston,TX,29.806377,-95.17318859999999,48,No
White,2015,Kansas City,MO,38.9474373,-94.4866943,29,No
Black,2015,Baltimore,MD,39.3079703,-76.6448703,24,Firearm
White,2015,San Diego,CA,32.7543667,-117.2051807,6,Firearm
White,2015,Tallahassee,FL,30.4609642,-84.2794113,12,Firearm
White,2015,Chatham,MA,41.684818299999996,-69.96642299999999,25,Unknown
White,2015,Edmond,OK,35.6332283,-97.4577179,40,Knife
White,2015,Miami,OK,36.8973899,-94.8865503,40,No
White,2015,Encinitas,CA,33.049740299999996,-117.24153000000001,6,No
White,2015,Harmony,IN,39.5332565,-87.07441709999999,18,No
White,2015,Bay Minette,AL,30.8661098,-87.880188,1,Firearm
Black,2015,Oklahoma City,OK,35.4976883,-97.5500717,40,No
White,2015,Navarre,FL,30.4130363,-86.83489229999999,12,Firearm
White,2015,Crown Point,IN,41.4479828,-87.37110899999999,18,Firearm
White,2015,Panama City,FL,30.170352899999997,-85.70083620000001,12,Knife
White,2015,Eatonton,GA,33.343499800000004,-83.2064702,13,No
White,2015,Fort Ashby,WV,39.481971,-78.812003,54,Firearm
Black,2015,Columbus,OH,39.997512,-82.890052,39,Firearm
Hispanic/Latino,2015,Long Beach,CA,33.780946,-118.1735922,6,No
Black,2015,Oklahoma City,OK,35.40306470000001,-97.5325623,40,Knife
White,2015,Iuka,MS,34.804702899999995,-88.202415,28,No
White,2015,Stanford,KY,37.51334,-84.59906009999999,21,No
Asian/Pacific Islander,2015,Hackensack,NJ,40.867431599999996,-74.03771970000001,34,No
Asian/Pacific Islander,2015,Houston,TX,29.704109000000003,-95.621871,48,No
Black,2015,Tarboro,NC,35.906951899999996,-77.5407562,37,No
Black,2015,St Louis,MO,38.660987899999995,-90.2338638,29,Firearm
Hispanic/Latino,2015,Alton,IL,38.891883899999996,-90.1335983,17,No
Hispanic/Latino,2015,Orlando,FL,28.499574699999997,-81.3055038,12,Firearm
White,2015,Bay City,MI,43.5996857,-83.8729324,26,Knife
Black,2015,Fort Pierce,FL,27.448650399999995,-80.3266068,12,Firearm
